tier,id,name,brand,subBrand,pitchKey,archetype,displayPriority,firmnessScore,firmnessLabel,price,quizTags,displayBadges,highlight,locally-made,features,reason_cooling,reason_pressureRelief,reason_motionIsolation,reason_support,reason_plush,reason_medium,reason_firm,reason_durability,reason_default,topPickReason,differentiator1Title,differentiator1Detail,differentiator2Title,differentiator2Detail
gold,g1,The Roma,Chattam & Wells,Roma,,Natural-fiber luxury firm,1,7,Firm,,,Luxury Natural Fibers|Firm|Euro-Top,Handcrafted firm luxury in Merino wool and cashmere,yes,support|firm|durability|hybrid|responsive|zoned,,,,,,,,,"Merino wool, cashmere, and graphite latex over multiple coil layers — firm support that breathes and lasts.","Handcrafted natural-fiber luxury with firm, breathable coil-on-coil support.",Natural fiber comfort layers,"Merino wool, camel hair, and cashmere breathe and temper heat in a way synthetic foams can't.",Coil-on-coil with graphite latex,Responsive lift and stability instead of the slow sink of memory foam.
gold,g2,The Saint Pierre,Chattam & Wells,Saint Pierre,,Plush natural-fiber luxury,1,3,Plush,,,Luxury Natural Fibers|Plush|Euro-Top,,yes,plush|soft|pressureRelief|durability|hybrid,,,,,,,,,A deep plush euro-top of wool and cashmere over layered coils — indulgent softness that never loses its support.,,Deep plush euro-top,,Breathable natural fill,Wool and cashmere keep the plush layers cooler than dense foam pillow-tops.
gold,g3,The Palermo,Chattam & Wells,Palermo,,Hand-tufted firm pillowtop,1,7,Firm,,,"4,294 Coils|Firm|Hand-Tufted","4,294 coils of hand-tufted firm support",yes,support|firm|durability|zoned|hybrid,,,,,,,,,"4,294 coils, Merino wool, and a hand-tufted build — firm alignment engineered to hold for decades.","Massive 4,294-coil count with hand-tufted craftsmanship for firm, lasting alignment.","4,294-coil support system","Several times the coil count of a standard bed — finer, more contoured firm support.",Hand-tufted construction,
gold,g4,Tempur-LuxeBreeze 2.0 Soft,Tempur-Pedic,LuxeBreeze,,Maximum-cooling soft memory foam,1,2,Soft,,,Cooling|Soft|Memory Foam,,no,cooling|soft|plush|pressureRelief|motionIsolation,,,,,,,,,Tempur-Pedic's coolest mattress — Pure Cool Plus material pulls heat away while soft TEMPUR cradles every curve.,,,,Soft TEMPUR contour,Slowly settles around pressure points instead of pushing back like coils.
gold,g5,Tempur-ProBreeze 2.0 Medium Hybrid,Tempur-Pedic,ProBreeze,,Cooling adaptive hybrid,1,5,Medium,,,Cooling|Hybrid|Medium,,no,cooling|medium|hybrid|pressureRelief|support,,,,,,,,,Cool-to-the-touch Breeze cover and Pure Cool material over a hybrid coil base — cooling plus true TEMPUR pressure relief.,,Cool-to-touch Breeze cover,Noticeably cooler on contact than standard TEMPUR models.,Hybrid coil base,Adds airflow and a touch of responsiveness under the memory foam.
gold,g6,Reserve Mayfair Plush,Restonic,Reserve,,,1,3,Plush,,,Plush,,yes,plush|soft|pressureRelief|hybrid|durability,,,,,,,,,,,,,,
gold,g7,Reserve Mayfair Medium,Restonic,Reserve,,,1,5,Medium,,,Medium,,yes,medium|support|hybrid|durability|pressureRelief,,,,,,,,,,,,,,
gold,g8,Royal Reserve Extra Firm,Restonic,Royal Reserve,,,1,8,Extra Firm,,,Extra Firm,,yes,firm|support|durability|hybrid,,,,,,,,,,,,,,
gold,g9,Copper Cushion Firm,Spring Air,Copper,,,1,6,Cushion Firm,,,Cushion Firm,,no,cooling|medium|support|hybrid|responsive,,,,,,,,,,,,,,
silver,s1,Platinum Paige Firm,Restonic,Platinum,,Luxury firm box-top hybrid,1,7,Firm,,,Marvelous Middle|Firm|Box Top,Luxury 16-inch box top with firm zoned support,yes,firm|support|zoned|hybrid|durability,,,,,,,,,Patented Marvelous Middle delivers 25% more support in the center third — where your body needs it most.,"Luxury box-top comfort with firm, zoned center-third support.",Marvelous Middle zoning,"25% more support under hips and lower back, where most beds sag first.",Luxury box-top build,A tailored 16-inch profile with plush surface layers over a firm core.
silver,s2,Platinum Paige Extra Firm,Restonic,Platinum,,Luxury extra-firm hybrid,1,8,Extra Firm,,,Marvelous Middle|Extra Firm|Hybrid,Maximum support with luxury Paige comfort layers,yes,firm|support|zoned|hybrid,,,,,,,,,Extra-firm hybrid support with Marvelous Middle zoning — maximum lift without giving up the luxury layers.,The firmest Platinum — extra-firm zoned support in a luxury build.,Extra-firm support core,Noticeably firmer than the Paige Firm — for sleepers who want no sink at all.,Zoned center third,
silver,s3,Platinum Maria Plush,Restonic,Platinum,,,1,3,Plush,,,Plush Box Top,,yes,plush|soft|pressureRelief|zoned|hybrid|motionIsolation,,,,,,,,,,,,,,
silver,s4,Platinum Maria Firm,Restonic,Platinum,,Firm box-top zoned hybrid,1,7,Firm,,,Firm Box Top|Zoned Coils|Edge Support,Firm box-top comfort with zoned coil support,yes,firm|support|zoned|hybrid|durability,,,,,,,,,,Firm zoned support in a box-top build with lasting edge-to-edge comfort.,Firm with a finished top,"Firm alignment without the bare, hard feel of a tight-top firm.",3-inch edge encasement,High-density foam rails keep the sleeping surface usable to the very edge.
silver,s5,Platinum Summit Firm,Restonic,Platinum,,Cool-gel firm hybrid,1,7,Firm,,,Cool Gel|Firm|Hybrid,Cool gel memory foam over firm hybrid support,yes,firm|cooling|support|hybrid|pressureRelief,,,,,,,,,A full layer of cool-gel memory foam over a firm hybrid core — pressure relief with a cooling effect and solid alignment.,Firm hybrid support topped with cooling gel memory foam.,Cool-gel memory foam layer,Adds cooling comfort a plain firm innerspring doesn't have.,Firm hybrid core,
silver,s6,Platinum Summit Medium,Restonic,Platinum,,,1,5,Medium,,,Medium|Hybrid,,yes,medium|cooling|pressureRelief|hybrid|support,,,,,,,,,,,Crowd-pleasing medium,The feel most couples agree on — balanced give and support.,,
silver,s7,Platinum Summit Plush,Restonic,Platinum,,,1,3,Plush,,,Plush|Hybrid,,yes,plush|soft|cooling|pressureRelief|hybrid,,,,,,,,,,,,,Supported softness,
