id,displayBadges,highlight,reason_cooling,reason_pressureRelief,reason_motionIsolation,reason_support,reason_plush,reason_medium,reason_firm,reason_durability,reason_default,topPickReason,differentiator1Title,differentiator1Detail,differentiator2Title,differentiator2Detail
g1,Fibras Naturales de Lujo|Firme|Euro-Top,Lujo firme artesanal en lana Merino y cachemira,,,,,,,,,"Lana Merino, cachemira y látex de grafito sobre múltiples capas de resortes — soporte firme que respira y dura.",Lujo artesanal de fibras naturales con soporte firme de doble resorte que respira.,Capas de confort de fibras naturales,"La lana Merino, el pelo de camello y la cachemira respiran y regulan el calor como las espumas sintéticas no pueden.",Doble resorte con látex de grafito,Elevación receptiva y estabilidad en lugar del hundimiento lento de la espuma viscoelástica.
g2,Fibras Naturales de Lujo|Suave|Euro-Top,,,,,,,,,,Un euro-top suave y profundo de lana y cachemira sobre capas de resortes — suavidad indulgente que nunca pierde su soporte.,,Euro-top suave y profundo,,Relleno natural transpirable,La lana y la cachemira mantienen las capas suaves más frescas que los pillow-tops de espuma densa.
g3,"4,294 Resortes|Firme|Copetudo a Mano","4,294 resortes de soporte firme copetudo a mano",,,,,,,,,"4,294 resortes, lana Merino y construcción copetuda a mano — alineación firme diseñada para durar décadas.","Enorme cantidad de 4,294 resortes con artesanía copetuda a mano para una alineación firme y duradera.","Sistema de 4,294 resortes",Varias veces los resortes de una cama estándar — soporte firme más fino y contorneado.,Construcción copetuda a mano,
g4,Frescura|Suave|Espuma Viscoelástica,,,,,,,,,,El colchón más fresco de Tempur-Pedic — el material Pure Cool Plus disipa el calor mientras el TEMPUR suave abraza cada curva.,,,,Contorno TEMPUR suave,Se acomoda lentamente alrededor de los puntos de presión en lugar de empujar como los resortes.
g5,Frescura|Híbrido|Medio,,,,,,,,,,Funda Breeze fresca al tacto y material Pure Cool sobre una base híbrida de resortes — frescura más el verdadero alivio de presión TEMPUR.,,Funda Breeze fresca al tacto,Notablemente más fresco al contacto que los modelos TEMPUR estándar.,Base híbrida de resortes,Agrega ventilación y un toque de respuesta bajo la espuma viscoelástica.
g6,Suave,,,,,,,,,,,,,,,
g7,Medio,,,,,,,,,,,,,,,
g8,Extra Firme,,,,,,,,,,,,,,,
g9,Cushion Firm,,,,,,,,,,,,,,,
s1,Marvelous Middle|Firme|Box Top,Box top de lujo de 16 pulgadas con soporte firme zonificado,,,,,,,,,El patentado Marvelous Middle brinda 25% más soporte en el tercio central — donde tu cuerpo más lo necesita.,Confort box-top de lujo con soporte firme zonificado en el centro.,Zonificación Marvelous Middle,"25% más soporte bajo caderas y espalda baja, donde la mayoría de las camas se hunden primero.",Construcción box-top de lujo,Un perfil de 16 pulgadas con capas superficiales suaves sobre un núcleo firme.
